description,category
grocery shopping expense,Groceries
metro ticket,Transport
shopping,Shopping
cashback received transaction,Income
water bill transaction,Utilities
zomato order,Food
trip expense expense,Travel
electronics purchase,Shopping
mobile recharge,Utilities
vegetable market 2856,Groceries
internet bill transaction,Utilities
burger transaction,Food
daily groceries expense,Groceries
interest income payment,Income
supermarket,Groceries
clothes purchase expense,Shopping
electricity bill payment,Utilities
fuel refill,Transport
metro ticket,Transport
bonus received,Income
new shoes payment,Shopping
street food expense,Food
electronics purchase 1829,Shopping
ration store 2747,Groceries
trip expense,Travel
pizza 3293,Food
bonus received expense,Income
bus ticket expense,Transport
flight ticket,Travel
refund received,Income
auto rickshaw payment,Transport
health checkup payment,Health
vegetable market expense,Groceries
hotel booking,Travel
spotify premium,Entertainment
restaurant meal transaction,Food
clothes purchase expense,Shopping
new shoes transaction,Shopping
petrol expense,Transport
clothes purchase,Shopping
resort stay transaction,Travel
salary credited 433,Income
online shopping,Shopping
cinema transaction,Entertainment
clothes purchase transaction,Shopping
game purchase expense,Entertainment
resort stay transaction,Travel
flight ticket payment,Travel
zomato order,Food
interest income,Income
milk purchase payment,Groceries
shopping payment,Shopping
internet bill expense,Utilities
mobile recharge 938,Utilities
trip expense 336,Travel
restaurant meal expense,Food
medicine purchase 3841,Health
train ticket expense,Transport
electricity bill payment,Utilities
cinema,Entertainment
health checkup transaction,Health
grocery shopping expense,Groceries
trip expense 1106,Travel
game purchase,Entertainment
cinema,Entertainment
doctor consultation 4694,Health
game purchase expense,Entertainment
freelance payment transaction,Income
lunch transaction,Food
grocery shopping,Groceries
bonus received transaction,Income
spotify premium payment,Entertainment
medicine purchase 2378,Health
bus ticket transaction,Transport
netflix subscription expense,Entertainment
coffee,Food
health checkup,Health
health checkup,Health
tour booking payment,Travel
netflix subscription payment,Entertainment
bonus received expense,Income
electricity bill expense,Utilities
supermarket 4634,Groceries
trip expense expense,Travel
medical bill 3523,Health
supermarket expense,Groceries
shopping transaction,Shopping
shopping transaction,Shopping
flipkart order expense,Shopping
doctor consultation expense,Health
pharmacy 721,Health
milk purchase expense,Groceries
bus ticket payment,Transport
shopping payment,Shopping
trip expense expense,Travel
refund received,Income
daily groceries payment,Groceries
doctor consultation payment,Health
water bill,Utilities
breakfast,Food
medicine purchase,Health
refund received transaction,Income
freelance payment,Income
grocery shopping,Groceries
tea payment,Food
bonus received,Income
pharmacy expense,Health
swiggy order,Food
fuel refill,Transport
new shoes expense,Shopping
medicine purchase 4297,Health
bonus received expense,Income
water bill,Utilities
street food,Food
wifi payment payment,Utilities
mobile recharge,Utilities
bus ticket,Transport
medicine purchase 2337,Health
flight ticket,Travel
vegetable market payment,Groceries
ration store 4422,Groceries
online shopping expense,Shopping
hospital visit,Health
game purchase,Entertainment
uber ride transaction,Transport
tea 3259,Food
uber ride transaction,Transport
spotify premium 1236,Entertainment
medicine purchase 2150,Health
netflix subscription expense,Entertainment
netflix subscription expense,Entertainment
interest income,Income
fuel refill 4525,Transport
cinema payment,Entertainment
electricity bill expense,Utilities
vegetable market 4254,Groceries
daily groceries,Groceries
concert ticket payment,Entertainment
coffee,Food
metro ticket,Transport
resort stay,Travel
taxi fare,Transport
health checkup 1858,Health
ola cab expense,Transport
uber ride 3290,Transport
movie ticket transaction,Entertainment
electricity bill expense,Utilities
gas bill 4808,Utilities
daily groceries,Groceries
netflix subscription transaction,Entertainment
bonus received,Income
resort stay payment,Travel
dinner expense,Food
fuel refill transaction,Transport
petrol payment,Transport
metro ticket expense,Transport
game purchase transaction,Entertainment
vacation travel payment,Travel
spotify premium,Entertainment
medical bill expense,Health
petrol,Transport
netflix subscription 323,Entertainment
bus ticket,Transport
clothes purchase,Shopping
milk purchase payment,Groceries
game purchase transaction,Entertainment
amazon order transaction,Shopping
bonus received transaction,Income
medical bill 2178,Health
daily groceries,Groceries
online shopping expense,Shopping
hospital visit transaction,Health
mobile recharge expense,Utilities
doctor consultation,Health
spotify premium transaction,Entertainment
online shopping 844,Shopping
wifi payment,Utilities
gas bill,Utilities
ola cab expense,Transport
fuel refill,Transport
internet bill payment,Utilities
gas station transaction,Transport
bonus received,Income
movie ticket expense,Entertainment
ration store transaction,Groceries
health checkup payment,Health
salary credited transaction,Income
pharmacy expense,Health
milk purchase,Groceries
burger transaction,Food
tour booking,Travel
restaurant meal transaction,Food
ration store payment,Groceries
mall shopping transaction,Shopping
doctor consultation payment,Health
freelance payment payment,Income
pharmacy payment,Health
medical bill,Health
new shoes,Shopping
daily groceries payment,Groceries
freelance payment transaction,Income
doctor consultation expense,Health
spotify premium expense,Entertainment
electronics purchase,Shopping
cinema,Entertainment
cinema payment,Entertainment
breakfast,Food
bus ticket,Transport
salary credited transaction,Income
mall shopping,Shopping
milk purchase expense,Groceries
new shoes,Shopping
daily groceries,Groceries
electronics purchase expense,Shopping
bonus received expense,Income
spotify premium transaction,Entertainment
uber ride,Transport
wifi payment 3895,Utilities
freelance payment 3200,Income
fuel refill,Transport
train ticket 1054,Transport
vegetable market transaction,Groceries
refund received expense,Income
health checkup 3686,Health
clothes purchase payment,Shopping
ration store expense,Groceries
ration store transaction,Groceries
flight ticket,Travel
flipkart order 4269,Shopping
cinema expense,Entertainment
medical bill transaction,Health
vegetable market,Groceries
gas bill,Utilities
salary credited,Income
pizza transaction,Food
street food 4321,Food
daily groceries transaction,Groceries
supermarket payment,Groceries
clothes purchase transaction,Shopping
water bill,Utilities
movie ticket expense,Entertainment
zomato order 4234,Food
spotify premium payment,Entertainment
milk purchase payment,Groceries
uber ride 2902,Transport
vacation travel expense,Travel
new shoes,Shopping
gas bill transaction,Utilities
netflix subscription,Entertainment
supermarket payment,Groceries
clothes purchase expense,Shopping
bus ticket transaction,Transport
medical bill transaction,Health
petrol,Transport
hospital visit,Health
hotel booking,Travel
mobile recharge,Utilities
refund received transaction,Income
refund received transaction,Income
food delivery expense,Food
hospital visit transaction,Health
bonus received,Income
gas station transaction,Transport
train ticket expense,Transport
flipkart order transaction,Shopping
vacation travel payment,Travel
vegetable market payment,Groceries
supermarket payment,Groceries
cinema 143,Entertainment
movie ticket,Entertainment
clothes purchase payment,Shopping
taxi fare payment,Transport
cinema 4910,Entertainment
hospital visit 4446,Health
flipkart order 3338,Shopping
hospital visit,Health
flight ticket transaction,Travel
fuel refill,Transport
burger expense,Food
refund received expense,Income
tour booking expense,Travel
vacation travel payment,Travel
food delivery transaction,Food
medical bill 3476,Health
mobile recharge expense,Utilities
internet bill payment,Utilities
water bill payment,Utilities
internet bill 1001,Utilities
gas bill,Utilities
amazon order 4277,Shopping
netflix subscription transaction,Entertainment
cinema payment,Entertainment
food delivery,Food
medical bill,Health
flipkart order,Shopping
salary credited 3750,Income
fuel refill 1109,Transport
milk purchase expense,Groceries
supermarket transaction,Groceries
internet bill transaction,Utilities
daily groceries 4310,Groceries
vegetable market expense,Groceries
netflix subscription 4225,Entertainment
doctor consultation,Health
new shoes 3121,Shopping
flipkart order 2135,Shopping
